chr	rs	ps	n_miss	allele1	allele0	af	beta	se	logl_H1	l_remle	l_mle	p_wald	p_lrt	p_score
26	COG1921	1	0	2	1	0.054	-5.993854e-02	3.858668e-02	3.847864e+01	1.000000e-05	1.000000e-05	1.222445e-01	8.620271e-02	8.920727e-02
26	COG1922	2	0	2	1	0.054	2.106230e-02	4.059418e-02	3.717197e+01	1.000000e-05	1.000000e-05	6.045562e-01	5.653278e-01	5.662634e-01
26	COG1923	3	0	2	1	0.054	-1.464804e-02	3.609629e-02	3.710783e+01	1.000000e-05	1.000000e-05	6.854089e-01	6.528914e-01	6.535584e-01
26	COG1924	4	0	2	1	0.064	-4.298139e-03	3.901022e-02	3.701415e+01	1.000000e-05	1.000000e-05	9.123998e-01	9.027887e-01	9.029382e-01
26	COG1925	5	0	2	1	0.064	-2.769909e-02	4.033366e-02	3.729607e+01	1.000000e-05	1.000000e-05	4.931993e-01	4.467972e-01	4.481978e-01
26	COG1926	6	0	2	1	0.078	-2.205474e-02	3.422734e-02	3.726149e+01	1.000000e-05	1.000000e-05	5.202313e-01	4.753083e-01	4.765857e-01
26	COG1927	7	0	2	1	0.078	1.687816e-02	3.483248e-02	3.715086e+01	1.000000e-05	1.000000e-05	6.286327e-01	5.912899e-01	5.921396e-01
26	COG1928	8	0	2	1	0.088	-1.296778e-02	3.138869e-02	3.711151e+01	1.000000e-05	1.000000e-05	6.800407e-01	6.470462e-01	6.477293e-01
26	COG1929	9	0	2	1	0.088	-1.296778e-02	3.138869e-02	3.711151e+01	1.000000e-05	1.000000e-05	6.800407e-01	6.470462e-01	6.477293e-01
26	COG1930	10	0	2	1	0.088	2.001451e-02	3.066274e-02	3.726815e+01	1.000000e-05	1.000000e-05	5.148329e-01	4.695997e-01	4.709012e-01
26	COG1931	11	0	2	1	0.088	-1.296778e-02	3.138869e-02	3.711151e+01	1.000000e-05	1.000000e-05	6.800407e-01	6.470462e-01	6.477293e-01
26	COG1932	12	0	2	1	0.088	-4.844438e-03	3.249105e-02	3.702035e+01	1.000000e-05	1.000000e-05	8.816552e-01	8.687219e-01	8.689273e-01
26	COG1933	13	0	2	1	0.088	-1.296778e-02	3.138869e-02	3.711151e+01	1.000000e-05	1.000000e-05	6.800407e-01	6.470462e-01	6.477293e-01
26	COG1934	14	0	2	1	0.088	-1.296778e-02	3.138869e-02	3.711151e+01	1.000000e-05	1.000000e-05	6.800407e-01	6.470462e-01	6.477293e-01
26	COG1935	15	0	2	1	0.088	-1.296778e-02	3.138869e-02	3.711151e+01	1.000000e-05	1.000000e-05	6.800407e-01	6.470462e-01	6.477293e-01
26	COG1936	16	0	2	1	0.088	-1.296778e-02	3.138869e-02	3.711151e+01	1.000000e-05	1.000000e-05	6.800407e-01	6.470462e-01	6.477293e-01
26	COG1937	17	0	2	1	0.088	-1.296778e-02	3.138869e-02	3.711151e+01	1.000000e-05	1.000000e-05	6.800407e-01	6.470462e-01	6.477293e-01
26	COG1938	18	0	2	1	0.088	-1.296778e-02	3.138869e-02	3.711151e+01	1.000000e-05	1.000000e-05	6.800407e-01	6.470462e-01	6.477293e-01
26	COG1939	19	0	2	1	0.088	-1.296778e-02	3.138869e-02	3.711151e+01	1.000000e-05	1.000000e-05	6.800407e-01	6.470462e-01	6.477293e-01
26	COG1940	20	0	2	1	0.093	-1.805364e-02	3.076910e-02	3.721801e+01	1.000000e-05	1.000000e-05	5.581715e-01	5.156220e-01	5.167375e-01
26	COG1941	21	0	2	1	0.103	-2.363622e-02	2.896835e-02	3.741494e+01	1.000000e-05	1.000000e-05	4.157079e-01	3.662026e-01	3.679901e-01
26	COG1942	22	0	2	1	0.127	3.144426e-02	2.679423e-02	3.784943e+01	1.000000e-05	1.000000e-05	2.422580e-01	1.941962e-01	1.969161e-01
