"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p","Empirical_p"
"COG1964","","","15","124","50","15","23.076923076923077","10.79136690647482","0.036290322580645164","6.275379093165351e-21","1.7069031133409753e-18","1.7069031133409753e-18","22","7","19","0.000855445861816406","0.13380050659179688","0.000999000999000999"
"COG2037","","","43","14","22","125","66.15384615384615","89.92805755395683","17.4512987012987","3.9752807189966894e-16","1.0812763555670995e-13","5.4063817778354975e-14","19","16","8","0.004425048828125002","0.6476058959960938","0.000999000999000999"
"COG2043","","","41","13","24","126","63.07692307692307","90.64748201438849","16.557692307692307","2.731132440195327e-15","7.428680237331289e-13","2.4762267457770964e-13","13","11","3","0.022460937500000003","0.09228515625000003","0.003996003996003996"
"COG1995","","","16","113","49","26","24.615384615384617","18.705035971223023","0.07513093733068449","9.107892986274791e-15","2.4773468922667434e-12","6.193367230666858e-13","20","6","15","0.04138946533203125","0.11531829833984371","0.002997002997002997"
"COG1961","","","26","124","39","15","40.0","10.79136690647482","0.08064516129032258","5.275513640723337e-13","1.4349397102767476e-10","2.8698794205534953e-11","13","6","10","0.09228515625000003","0.9999999999999999","0.003996003996003996"
"COG1956","","","30","124","35","15","46.15384615384615","10.79136690647482","0.10368663594470046","1.1550081932437887e-10","3.141622285623105e-08","5.236037142705175e-09","21","7","15","0.07835388183593749","0.18924713134765628","0.002997002997002997"
"COG2002","","","8","77","57","62","12.307692307692308","44.60431654676259","0.11300979722032353","2.7433891434928035e-09","7.462018470300425e-07","1.0660026386143465e-07","21","5","16","0.026603698730468753","0.026603698730468753","0.04195804195804196"
"COG1996","","","20","101","45","38","30.76923076923077","27.33812949640288","0.16721672167216722","2.00174069389558e-08","5.444734687395977e-06","6.805918359244971e-07","21","12","13","0.38331031799316395","0.6636238098144525","0.14893617021276595"
"COG2138","","","20","4","45","135","30.76923076923077","97.12230215827337","15.0","4.228159475997046e-08","1.1500593774711965e-05","1.277843752745774e-06","13","10","3","0.09228515625000003","0.09228515625000003","0.002997002997002997"
"COG2001","","","13","82","52","57","20.0","41.007194244604314","0.17378048780487804","1.8616180545901208e-07","5.0636011084851286e-05","5.063601108485128e-06","20","9","14","0.11531829833984371","0.8238029479980463","0.024975024975024976"
"COG2115","","","0","32","65","107","0.0","76.97841726618705","0.0","1.708569067741727e-06","0.0004647307864257497","4.2248253311431793e-05","7","0","7","0.015625","0.015625","0.008991008991008992"
"COG2160","","","14","2","51","137","21.53846153846154","98.56115107913669","18.80392156862745","2.613486432953584e-06","0.0007108683097633749","5.923902581361458e-05","9","7","2","0.17968750000000003","0.17968750000000003","0.02097902097902098"
