"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p","Empirical_p"
"SEQ21625","","","42","63","97","2","30.215827338129497","3.076923076923077","0.013745704467353952","1.3872119777213762e-21","2.0300460081974618e-17","2.0300460081974618e-17","21","2","20","2.09808349609375e-05","0.00022125244140625","0.000999000999000999"
"SEQ21619","","","33","59","106","6","23.741007194244602","9.230769230769232","0.03165973776782859","2.2198458767563942e-20","3.248522456045307e-16","1.6242612280226536e-16","20","5","18","0.0004024505615234376","0.04138946533203125","0.000999000999000999"
"SEQ21555","","","15","48","124","17","10.79136690647482","26.153846153846157","0.04284274193548387","2.6997500609554125e-19","3.950814239202151e-15","9.877035598005377e-16","19","5","16","0.004425048828125002","0.06356811523437494","0.000999000999000999"
"SEQ21579","","","15","48","124","17","10.79136690647482","26.153846153846157","0.04284274193548387","2.6997500609554125e-19","3.950814239202151e-15","9.877035598005377e-16","19","5","16","0.004425048828125002","0.06356811523437494","0.000999000999000999"
"SEQ233","","","132","26","7","39","94.96402877697841","60.0","28.285714285714285","1.361743050463565e-17","1.992774780048381e-13","3.985549560096762e-14","13","12","4","0.0034179687499999996","0.26684570312499983","0.000999000999000999"
"SEQ21547","","","15","45","124","20","10.79136690647482","30.76923076923077","0.053763440860215055","5.081955642962124e-17","7.436933887910772e-13","9.296167359888466e-14","19","6","16","0.004425048828125002","0.16706848144531244","0.000999000999000999"
"SEQ21551","","","15","45","124","20","10.79136690647482","30.76923076923077","0.053763440860215055","5.081955642962124e-17","7.436933887910772e-13","9.296167359888466e-14","19","6","16","0.004425048828125002","0.16706848144531244","0.000999000999000999"
"SEQ21567","","","15","45","124","20","10.79136690647482","30.76923076923077","0.053763440860215055","5.081955642962124e-17","7.436933887910772e-13","9.296167359888466e-14","19","6","16","0.004425048828125002","0.16706848144531244","0.000999000999000999"
"SEQ234","","","132","38","7","27","94.96402877697841","41.53846153846154","13.398496240601503","4.29451555947685e-10","6.2845940697384225e-06","6.982882299709358e-07","15","9","6","0.6072387695312501","0.6072387695312501","0.19047619047619047"
"SEQ24330","","","34","46","105","19","24.46043165467626","29.230769230769234","0.13374741200828158","6.044726153357843e-10","8.845852252823868e-06","8.845852252823868e-07","16","5","14","0.004180908203124999","0.21011352539062492","0.000999000999000999"
