SNP	Chromosome	GeneticDistance	Position	Pvalue	Qvalue	N	NullLogLike	AltLogLike	SNPWeight	SNPWeightSE	OddsRatio	WaldStat	heritability	NullGeneticVar	NullResidualVar	NullBias	NullCov01Weight	NullCov02Weight	NullCov03Weight	NullCov04Weight	NullCov05Weight	NullCov06Weight	NullCov07Weight	NullCov08Weight	NullCov09Weight	NullCov10Weight	NullCov11Weight	NullCov12Weight	NullCov13Weight	NullCov14Weight	NullCov15Weight	NullCov16Weight	NullCov17Weight	NullCov18Weight	NullCov19Weight	NullCov20Weight	NullCov21Weight	NullCov22Weight	NullCov23Weight	NullCov24Weight	NullCov25Weight	NullCov26Weight	NullCov27Weight	NullCov28Weight	NullCov29Weight	NullCov30Weight	NullCov31Weight	NullCov32Weight	NullCov33Weight	NullCov34Weight	NullCov35Weight
COG2187	26	0.000000	267	8.3649144002112229E-03	1.6164583563806612E-01	204	-1.2080277836301036E+01	-1.1579997378947974E+01	-5.2673110201003473E-02	1.9737177495346328E-02	8.8993737405386031E-01	7.1220961516229817E+00	1.0000000000000001E-05	5.1270650166770798E-07	5.1270137460269129E-02	1.6813725490196092E+00	-9.6797079333853328E-02	-2.6048033268803564E-02	-1.3112988004924037E-01	2.3798866718980402E-01	1.2074585620592414E-01	-1.2300492265061985E-01	9.0091000211777017E-02	-3.3627209629225878E-02	-1.8736792762118258E-03	-1.8736654618817501E-03	-1.8736654618589739E-03	-7.9257930506104371E-02	-1.1464452695877289E-01	4.5016361332748576E-02	-1.0894755224923255E-01	-9.2020708505439308E-02	-9.2022243387096539E-02	-9.2020708505424251E-02	-9.2023828354503387E-02	5.1238371653116022E-01	-9.3712980632126852E-02	-1.2550059074730879E-01	-1.3609830582527924E-01	-9.3712959049291458E-02	2.7199477461141907E-04	-4.3305716332895572E-01	-1.5729105697939469E-01	-1.5728820455855377E-01	5.6694323264474822E-01	-6.6065615782054576E-01	1.8392269176350490E-01	2.7576861825302296E-01	2.7407280657246597E-01	9.7384167549067724E-01	1.6813725490196092E+00
COG2185	26	0.000000	265	9.2473204594253205E-03	1.6164583563806612E-01	204	-1.2080277836301036E+01	-1.1703012751806748E+01	-5.0308438682112162E-02	1.9103994022421820E-02	8.9460818886487681E-01	6.9347902732025348E+00	1.0000000000000001E-05	5.1270650166770798E-07	5.1270137460269129E-02	1.6813725490196092E+00	-9.6797079333853328E-02	-2.6048033268803564E-02	-1.3112988004924037E-01	2.3798866718980402E-01	1.2074585620592414E-01	-1.2300492265061985E-01	9.0091000211777017E-02	-3.3627209629225878E-02	-1.8736792762118258E-03	-1.8736654618817501E-03	-1.8736654618589739E-03	-7.9257930506104371E-02	-1.1464452695877289E-01	4.5016361332748576E-02	-1.0894755224923255E-01	-9.2020708505439308E-02	-9.2022243387096539E-02	-9.2020708505424251E-02	-9.2023828354503387E-02	5.1238371653116022E-01	-9.3712980632126852E-02	-1.2550059074730879E-01	-1.3609830582527924E-01	-9.3712959049291458E-02	2.7199477461141907E-04	-4.3305716332895572E-01	-1.5729105697939469E-01	-1.5728820455855377E-01	5.6694323264474822E-01	-6.6065615782054576E-01	1.8392269176350490E-01	2.7576861825302296E-01	2.7407280657246597E-01	9.7384167549067724E-01	1.6813725490196092E+00
COG2191	26	0.000000	271	9.2473204594253205E-03	1.6164583563806612E-01	204	-1.2080277836301036E+01	-1.1703012751806748E+01	-5.0308438682112162E-02	1.9103994022421820E-02	8.9460818886487681E-01	6.9347902732025348E+00	1.0000000000000001E-05	5.1270650166770798E-07	5.1270137460269129E-02	1.6813725490196092E+00	-9.6797079333853328E-02	-2.6048033268803564E-02	-1.3112988004924037E-01	2.3798866718980402E-01	1.2074585620592414E-01	-1.2300492265061985E-01	9.0091000211777017E-02	-3.3627209629225878E-02	-1.8736792762118258E-03	-1.8736654618817501E-03	-1.8736654618589739E-03	-7.9257930506104371E-02	-1.1464452695877289E-01	4.5016361332748576E-02	-1.0894755224923255E-01	-9.2020708505439308E-02	-9.2022243387096539E-02	-9.2020708505424251E-02	-9.2023828354503387E-02	5.1238371653116022E-01	-9.3712980632126852E-02	-1.2550059074730879E-01	-1.3609830582527924E-01	-9.3712959049291458E-02	2.7199477461141907E-04	-4.3305716332895572E-01	-1.5729105697939469E-01	-1.5728820455855377E-01	5.6694323264474822E-01	-6.6065615782054576E-01	1.8392269176350490E-01	2.7576861825302296E-01	2.7407280657246597E-01	9.7384167549067724E-01	1.6813725490196092E+00
COG2167	26	0.000000	247	1.1291437048242689E-02	1.6164583563806612E-01	204	-1.2080277836301036E+01	-1.1890250700254942E+01	-4.8560938621201810E-02	1.8954435515255032E-02	9.0537789307753036E-01	6.5637560965765758E+00	1.0000000000000001E-05	5.1270650166770798E-07	5.1270137460269129E-02	1.6813725490196092E+00	-9.6797079333853328E-02	-2.6048033268803564E-02	-1.3112988004924037E-01	2.3798866718980402E-01	1.2074585620592414E-01	-1.2300492265061985E-01	9.0091000211777017E-02	-3.3627209629225878E-02	-1.8736792762118258E-03	-1.8736654618817501E-03	-1.8736654618589739E-03	-7.9257930506104371E-02	-1.1464452695877289E-01	4.5016361332748576E-02	-1.0894755224923255E-01	-9.2020708505439308E-02	-9.2022243387096539E-02	-9.2020708505424251E-02	-9.2023828354503387E-02	5.1238371653116022E-01	-9.3712980632126852E-02	-1.2550059074730879E-01	-1.3609830582527924E-01	-9.3712959049291458E-02	2.7199477461141907E-04	-4.3305716332895572E-01	-1.5729105697939469E-01	-1.5728820455855377E-01	5.6694323264474822E-01	-6.6065615782054576E-01	1.8392269176350490E-01	2.7576861825302296E-01	2.7407280657246597E-01	9.7384167549067724E-01	1.6813725490196092E+00
COG2169	26	0.000000	249	1.1291437048242689E-02	1.6164583563806612E-01	204	-1.2080277836301036E+01	-1.1890250700254942E+01	-4.8560938621201810E-02	1.8954435515255032E-02	9.0537789307753036E-01	6.5637560965765758E+00	1.0000000000000001E-05	5.1270650166770798E-07	5.1270137460269129E-02	1.6813725490196092E+00	-9.6797079333853328E-02	-2.6048033268803564E-02	-1.3112988004924037E-01	2.3798866718980402E-01	1.2074585620592414E-01	-1.2300492265061985E-01	9.0091000211777017E-02	-3.3627209629225878E-02	-1.8736792762118258E-03	-1.8736654618817501E-03	-1.8736654618589739E-03	-7.9257930506104371E-02	-1.1464452695877289E-01	4.5016361332748576E-02	-1.0894755224923255E-01	-9.2020708505439308E-02	-9.2022243387096539E-02	-9.2020708505424251E-02	-9.2023828354503387E-02	5.1238371653116022E-01	-9.3712980632126852E-02	-1.2550059074730879E-01	-1.3609830582527924E-01	-9.3712959049291458E-02	2.7199477461141907E-04	-4.3305716332895572E-01	-1.5729105697939469E-01	-1.5728820455855377E-01	5.6694323264474822E-01	-6.6065615782054576E-01	1.8392269176350490E-01	2.7576861825302296E-01	2.7407280657246597E-01	9.7384167549067724E-01	1.6813725490196092E+00
COG2170	26	0.000000	250	1.1291437048242689E-02	1.6164583563806612E-01	204	-1.2080277836301036E+01	-1.1890250700254942E+01	-4.8560938621201810E-02	1.8954435515255032E-02	9.0537789307753036E-01	6.5637560965765758E+00	1.0000000000000001E-05	5.1270650166770798E-07	5.1270137460269129E-02	1.6813725490196092E+00	-9.6797079333853328E-02	-2.6048033268803564E-02	-1.3112988004924037E-01	2.3798866718980402E-01	1.2074585620592414E-01	-1.2300492265061985E-01	9.0091000211777017E-02	-3.3627209629225878E-02	-1.8736792762118258E-03	-1.8736654618817501E-03	-1.8736654618589739E-03	-7.9257930506104371E-02	-1.1464452695877289E-01	4.5016361332748576E-02	-1.0894755224923255E-01	-9.2020708505439308E-02	-9.2022243387096539E-02	-9.2020708505424251E-02	-9.2023828354503387E-02	5.1238371653116022E-01	-9.3712980632126852E-02	-1.2550059074730879E-01	-1.3609830582527924E-01	-9.3712959049291458E-02	2.7199477461141907E-04	-4.3305716332895572E-01	-1.5729105697939469E-01	-1.5728820455855377E-01	5.6694323264474822E-01	-6.6065615782054576E-01	1.8392269176350490E-01	2.7576861825302296E-01	2.7407280657246597E-01	9.7384167549067724E-01	1.6813725490196092E+00
COG2171	26	0.000000	251	1.1291437048242689E-02	1.6164583563806612E-01	204	-1.2080277836301036E+01	-1.1890250700254942E+01	-4.8560938621201810E-02	1.8954435515255032E-02	9.0537789307753036E-01	6.5637560965765758E+00	1.0000000000000001E-05	5.1270650166770798E-07	5.1270137460269129E-02	1.6813725490196092E+00	-9.6797079333853328E-02	-2.6048033268803564E-02	-1.3112988004924037E-01	2.3798866718980402E-01	1.2074585620592414E-01	-1.2300492265061985E-01	9.0091000211777017E-02	-3.3627209629225878E-02	-1.8736792762118258E-03	-1.8736654618817501E-03	-1.8736654618589739E-03	-7.9257930506104371E-02	-1.1464452695877289E-01	4.5016361332748576E-02	-1.0894755224923255E-01	-9.2020708505439308E-02	-9.2022243387096539E-02	-9.2020708505424251E-02	-9.2023828354503387E-02	5.1238371653116022E-01	-9.3712980632126852E-02	-1.2550059074730879E-01	-1.3609830582527924E-01	-9.3712959049291458E-02	2.7199477461141907E-04	-4.3305716332895572E-01	-1.5729105697939469E-01	-1.5728820455855377E-01	5.6694323264474822E-01	-6.6065615782054576E-01	1.8392269176350490E-01	2.7576861825302296E-01	2.7407280657246597E-01	9.7384167549067724E-01	1.6813725490196092E+00
COG2172	26	0.000000	252	1.1291437048242689E-02	1.6164583563806612E-01	204	-1.2080277836301036E+01	-1.1890250700254942E+01	-4.8560938621201810E-02	1.8954435515255032E-02	9.0537789307753036E-01	6.5637560965765758E+00	1.0000000000000001E-05	5.1270650166770798E-07	5.1270137460269129E-02	1.6813725490196092E+00	-9.6797079333853328E-02	-2.6048033268803564E-02	-1.3112988004924037E-01	2.3798866718980402E-01	1.2074585620592414E-01	-1.2300492265061985E-01	9.0091000211777017E-02	-3.3627209629225878E-02	-1.8736792762118258E-03	-1.8736654618817501E-03	-1.8736654618589739E-03	-7.9257930506104371E-02	-1.1464452695877289E-01	4.5016361332748576E-02	-1.0894755224923255E-01	-9.2020708505439308E-02	-9.2022243387096539E-02	-9.2020708505424251E-02	-9.2023828354503387E-02	5.1238371653116022E-01	-9.3712980632126852E-02	-1.2550059074730879E-01	-1.3609830582527924E-01	-9.3712959049291458E-02	2.7199477461141907E-04	-4.3305716332895572E-01	-1.5729105697939469E-01	-1.5728820455855377E-01	5.6694323264474822E-01	-6.6065615782054576E-01	1.8392269176350490E-01	2.7576861825302296E-01	2.7407280657246597E-01	9.7384167549067724E-01	1.6813725490196092E+00
COG2173	26	0.000000	253	1.1291437048242689E-02	1.6164583563806612E-01	204	-1.2080277836301036E+01	-1.1890250700254942E+01	-4.8560938621201810E-02	1.8954435515255032E-02	9.0537789307753036E-01	6.5637560965765758E+00	1.0000000000000001E-05	5.1270650166770798E-07	5.1270137460269129E-02	1.6813725490196092E+00	-9.6797079333853328E-02	-2.6048033268803564E-02	-1.3112988004924037E-01	2.3798866718980402E-01	1.2074585620592414E-01	-1.2300492265061985E-01	9.0091000211777017E-02	-3.3627209629225878E-02	-1.8736792762118258E-03	-1.8736654618817501E-03	-1.8736654618589739E-03	-7.9257930506104371E-02	-1.1464452695877289E-01	4.5016361332748576E-02	-1.0894755224923255E-01	-9.2020708505439308E-02	-9.2022243387096539E-02	-9.2020708505424251E-02	-9.2023828354503387E-02	5.1238371653116022E-01	-9.3712980632126852E-02	-1.2550059074730879E-01	-1.3609830582527924E-01	-9.3712959049291458E-02	2.7199477461141907E-04	-4.3305716332895572E-01	-1.5729105697939469E-01	-1.5728820455855377E-01	5.6694323264474822E-01	-6.6065615782054576E-01	1.8392269176350490E-01	2.7576861825302296E-01	2.7407280657246597E-01	9.7384167549067724E-01	1.6813725490196092E+00
COG2174	26	0.000000	254	1.1291437048242689E-02	1.6164583563806612E-01	204	-1.2080277836301036E+01	-1.1890250700254942E+01	-4.8560938621201810E-02	1.8954435515255032E-02	9.0537789307753036E-01	6.5637560965765758E+00	1.0000000000000001E-05	5.1270650166770798E-07	5.1270137460269129E-02	1.6813725490196092E+00	-9.6797079333853328E-02	-2.6048033268803564E-02	-1.3112988004924037E-01	2.3798866718980402E-01	1.2074585620592414E-01	-1.2300492265061985E-01	9.0091000211777017E-02	-3.3627209629225878E-02	-1.8736792762118258E-03	-1.8736654618817501E-03	-1.8736654618589739E-03	-7.9257930506104371E-02	-1.1464452695877289E-01	4.5016361332748576E-02	-1.0894755224923255E-01	-9.2020708505439308E-02	-9.2022243387096539E-02	-9.2020708505424251E-02	-9.2023828354503387E-02	5.1238371653116022E-01	-9.3712980632126852E-02	-1.2550059074730879E-01	-1.3609830582527924E-01	-9.3712959049291458E-02	2.7199477461141907E-04	-4.3305716332895572E-01	-1.5729105697939469E-01	-1.5728820455855377E-01	5.6694323264474822E-01	-6.6065615782054576E-01	1.8392269176350490E-01	2.7576861825302296E-01	2.7407280657246597E-01	9.7384167549067724E-01	1.6813725490196092E+00
